DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
19-Jun-2025,EQ,"4,374.90","4,404.00","4,350.30","4,357.90","4,370.80","4,384.30","4,379.16","6,246.25","3,344.00",425692,"1,86,41,72,016.90",42272
18-Jun-2025,EQ,"4,352.00","4,432.00","4,350.00","4,371.00","4,360.00","4,357.90","4,389.08","6,246.25","3,344.00",370443,"1,62,59,03,019.30",35655
17-Jun-2025,EQ,"4,369.00","4,390.00","4,333.80","4,364.50","4,370.00","4,371.00","4,370.36","6,246.25","3,344.00",331648,"1,44,94,21,210.70",31883
16-Jun-2025,EQ,"4,316.00","4,414.10","4,312.50","4,333.80","4,360.00","4,364.50","4,370.63","6,246.25","3,344.00",360242,"1,57,44,86,180.20",50574
13-Jun-2025,EQ,"4,266.10","4,347.00","4,251.40","4,362.80","4,338.90","4,333.80","4,306.99","6,246.25","3,344.00",521000,"2,24,39,44,138.40",49839
12-Jun-2025,EQ,"4,410.30","4,425.00","4,340.00","4,410.30","4,350.10","4,362.80","4,380.97","6,246.25","3,344.00",813687,"3,56,47,39,243.00",73955
11-Jun-2025,EQ,"4,375.00","4,486.70","4,365.90","4,379.00","4,410.00","4,410.30","4,444.57","6,246.25","3,344.00",1241569,"5,51,82,39,199.70",99029
10-Jun-2025,EQ,"4,370.10","4,392.00","4,329.70","4,349.40","4,380.00","4,379.00","4,374.04","6,246.25","3,344.00",469185,"2,05,22,33,654.70",50851
09-Jun-2025,EQ,"4,304.90","4,360.00","4,275.00","4,268.00","4,342.00","4,349.40","4,326.16","6,246.25","3,344.00",495256,"2,14,25,58,785.70",46833
06-Jun-2025,EQ,"4,189.00","4,296.90","4,158.10","4,178.90","4,277.00","4,268.00","4,250.65","6,246.25","3,344.00",551467,"2,34,40,94,558.70",49313
05-Jun-2025,EQ,"4,227.80","4,227.80","4,172.80","4,200.60","4,177.00","4,178.90","4,197.67","6,246.25","3,344.00",394746,"1,65,70,12,703.40",46740
04-Jun-2025,EQ,"4,213.00","4,240.70","4,191.30","4,208.60","4,203.70","4,200.60","4,213.66","6,246.25","3,344.00",353642,"1,49,01,25,481.60",35562
03-Jun-2025,EQ,"4,250.00","4,280.50","4,201.00","4,232.30","4,205.10","4,208.60","4,234.69","6,246.25","3,344.00",417447,"1,76,77,59,767.50",40597
